Data_Collection_Name,Countries
KeyGlobalFacts,All
KeyWEFacts,Western Europe
KeyUSFacts,US
LandscapeFacts,US
KeyCanFacts,Canada
ALFacts,Albania
ALSpend,Albania
DZFacts,Algeria
ADFacts,Andorra
AOFacts,Angola
ARFacts,Argentina
AMFacts,Armenia
AWFacts,Aruba
AUFacts,Australia
AUSpend,Australia
ATFacts,Austria
ATSpend,Austria
AZFacts,Azerbaijan
BSFacts,Bahamas
BHFacts,Bahrain
BUSpend,Bahrain
BDFacts,Bangladesh
BYFacts,Belarus
BYSpend,Belarus
BEFacts,Belgium
BESpend,Belgium
BMFacts,Bermuda
BOFacts,Bolivia
BAFacts,Bosnia and Herzegovina
BASpend,Bosnia and Herzegovina
BWFacts,Botswana
BRFacts,Brazil
BRSpend,Brazil
BGFacts,Bulgaria
BGSpend,Bulgaria
CMFacts,Cameroon
KYFacts,Cayman Islands
CLFacts,Chile
CLSpend,Chile
CNFacts,China
CNSpend,China
COFacts,Colombia
COSpend,Colombia
CRFacts,Costa Rica
CRSpend,Costa Rica
CIFacts,C“te d'Ivoire
HRFacts,Croatia
HRSpend,Croatia
CYFacts,Cyprus
CYSpend,Cyprus
CZFacts,Czech Republic
CZSpend,Czech Republic
DKFacts,Denmark
DKSpend,Denmark
DOFacts,Dominican Republic
ECFacts,Ecuador
EGFacts,Egypt
SVFacts,El Salvador
EEFacts,Estonia
EESpend,Estonia
FOFacts,Faroe Islands
FIFacts,Finland
FISpend,Finland
FRFacts,France
FRSpend,France
PFFacts,French Polynesia
GEFacts,Georgia
DEFacts,Germany
DESpend,Germany
GHFacts,Ghana
GRFacts,Greece
GRSpend,Greece
GLFacts,Greenland
GPFacts,Guadaloupe
GTFacts,Guatamala
HNFacts,Honduras
HKFacts,Hong Kong
HKSpend,Hong Kong
HUFacts,Hungary
HUSpend,Hungary
ISFacts,Iceland
ISSpend,Iceland
INFacts,India
INSpend,India
IDFacts,Indonesia
IEFacts,Ireland
IESpend,Ireland
ILFacts,Israel
ILSpend,Israel
ITFacts,Italy
ITSpend,Italy
JMFacts,Jamaica
JPFacts,Japan
JPSpend,Japan
JOFacts,Jordan
KZFacts,Kazakhstan
KEFacts,Kenya
XKFacts,Kosovo
KWFacts,Kuwait
KGFacts,Kyrgyzstan
LVFacts,Latvia
LVSpend,Latvia
LBFacts,Lebanon
LSFacts,Lesotho
LIFacts,Liechtenstein
LISpend,Liechtenstein
LTFacts,Lithuania
LTSpend,Lithuania
LUFacts,Luxembourg
LUSpend,Luxembourg
MOFacts,Macau
MKFacts,Macedonia
MKSpend,Macedonia
MWFacts,Malawi
MYFacts,Malaysia
MYSpend,Malaysia
MTFacts,Malta
MTSpend,Malta
MQFacts,Martinique
MUFacts,Mauritius
MUSpend,Mauritius
MXFacts,Mexico
MXSpend,Mexico
MDFacts,Moldova
MDSpend,Moldova
MCFacts,Monaco
MNFacts,Mongolia
MEFacts,Montenegro
MESpend,Montenegro
MAFacts,Morocco
MZFacts,Mozambique
NAFacts,Namibia
NLFacts,Netherlands
NLSpend,Netherlands
NCFacts,New Caledonia
NZFacts,New Zealand
NZSpend,New Zealand
NIFacts,Nicaragua
NGFacts,Nigeria
NOFacts,Norway
NOSpend,Norway
OMFacts,Oman
PKFacts,Pakistan
PAFacts,Panama
PYFacts,Paraguay
PEFacts,Peru
PHFacts,Philippines
PHSpend,Philippines
PLFacts,Poland
PLSpend,Poland
PTFacts,Portugal
PTSpend,Portugal
PRFacts,Puerto Rico
QAFacts,Qatar
REFacts,Reunion
RESpend,Reunion
ROFacts,Romania
ROSpend,Romania
RUFacts,Russia
RUSpend,Russia
SAFacts,Saudi Arabia
SASpend,Saudi Arabia
RSFacts,Serbia
RSSpend,Serbia
SGFacts,Singapore
SGSpend,Singapore
SKFacts,Slovakia
SKSpend,Slovakia
SIFacts,Slovenia
SISpend,Slovenia
ZAFacts,South Africa
KRFacts,South Korea
KRSpend,South Korea
ESFacts,Spain
ESSpend,Spain
LKFacts,Sri Lanka
SDFacts,Sudan
SZFacts,Swaziland
SEFacts,Sweden
SESpend,Sweden
CHFacts,Switzerland
CHSpend,Switzerland
SYFacts,Syria
TWFacts,Taiwan
TWSpend,Taiwan
TJFacts,Tajikistan
TZFacts,Tanzania
THFacts,Thailand
THSpend,Thailand
TTFacts,Trinidad and Tobago
TNFacts,Tunisia
TRFacts,Turkey
TRSpend,Turkey
UGFacts,Uganda
UAFacts,Ukraine
UASpend,Ukraine
AEFacts,United Arab Emirates
GBFacts,United Kingdom
GBSpend,United Kingdom
UYFacts,Uruguay
VEFacts,Venezuela
VNFacts,Vietnam
ZMFacts,Zambia
